Title|SubTitle|Author|Date|nComments|DateExtraction|URL
The Division 2 recebe atualização para PS5 e Xbox Series, veja vídeo comparativo|Foram adicionadas melhorias gráficas e de desempenho nos consoles da nova geração|AMANDA FAVARO|04/02/2021 22:02|5|05/02/2021 00:02:50|https://adrenaline.com.br/noticias/v/67751/the-division-2-recebe-atualizacao-para-ps5-e-xbox-series-veja-video-comparativo
Diablo IV e Overwatch 2 não serão lançados em 2021, confirma Activision Blizzard|Informação foi divulgada pela desenvolvedora na última conferência para investidores|PEDRO HENRIQUE|04/02/2021 21:10|2|05/02/2021 00:03:04|https://adrenaline.com.br/noticias/v/67750/diablo-iv-e-overwatch-2-nao-serao-lancados-em-2021-confirma-activision-blizzard
Call of Duty Warzone: bug que permite sobreviver no gás está de volta ao game|Usuários justiceiros estão caçando trapaceiros que se aproveitam da falha|MATEUS MOGNON|04/02/2021 19:41|3|05/02/2021 00:03:18|https://adrenaline.com.br/noticias/v/67747/call-of-duty-warzone-bug-que-permite-sobreviver-no-gas-esta-de-volta-ao-game
Metro: Last Light Redux e For the King são os jogos grátis dessa semana na Epic|Metro aparece de surpresa e loja oferece dois games de peso para resgate gratuito|JOÃO GABRIEL NOGUEIRA|04/02/2021 19:12|6|05/02/2021 00:03:30|https://adrenaline.com.br/noticias/v/67748/metro-last-light-redux-e-for-the-king-sao-os-jogos-gratis-dessa-semana-na-epic
NVIDIA comemora um ano do serviço GeForce Now - veja as métricas|A plataforma conta com mais de 800 títulos, desde blockbusters até jogos indie|MATEUS ALEXANDRE|04/02/2021 17:38|6|05/02/2021 00:26:29|https://adrenaline.com.br/noticias/v/67745/nvidia-comemora-um-ano-do-servico-geforce-now-veja-as-metricas
LEGO irá produzir conjunto de Sonic The Hedgehog projetado por fã|A criadora do conceito precisou de 10.000 votos para ter o projeto aprovado|IRACI FALAVINA|04/02/2021 16:51|1|05/02/2021 00:26:43|https://adrenaline.com.br/noticias/v/67744/lego-ira-produzir-conjunto-de-sonic-the-hedgehog-projetado-por-fa
Concorrência come poeira com lance de US$ 1,2bi da EA pela Codemasters|Mesmo entrando tarde na disputa, o lance da Eletronic Arts foi mais de 30% acima do da Take-Two, favorita até então para aquisição do estúdio|DANIEL TREFILIO CARVALHO|04/02/2021 11:49 - ATUALIZADO 04/02/2021 11:49|41|05/02/2021 00:26:57|https://adrenaline.com.br/noticias/v/67740/concorrencia-come-poeira-com-lance-de-us-12bi-da-ea-pela-codemasters
Festival de Primavera da Steam traz promoções e mais de 500 demos|O evento também oferece conversas com os desenvolvedores e vai até a terça-feira (09)|IRACI FALAVINA|04/02/2021 11:40|1|05/02/2021 00:27:10|https://adrenaline.com.br/noticias/v/67741/festival-de-primavera-da-steam-traz-promocoes-e-mais-de-500-demos
Valve vai pagar US$ 4 milhões para a Corsair por violar patente no Steam Controller|Justiça decide que a Valve não respeitou a patente mesmo sabendo dela|JOÃO GABRIEL NOGUEIRA|04/02/2021 09:53|62|05/02/2021 00:27:23|https://adrenaline.com.br/noticias/v/67739/valve-vai-pagar-us-4-milhoes-para-a-corsair-por-violar-patente-no-steam-controller
Mass Effect: Legendary Edition tem seus requisitos revelados, seu PC está pronto para encarar outras galáxias?|Coletânea exigirá 120 GB de espaço livre no HD|PEDRO HENRIQUE|03/02/2021 21:29|89|05/02/2021 00:28:09|https://adrenaline.com.br/noticias/v/67736/mass-effect-legendary-edition-tem-seus-requisitos-revelados-seu-pc-esta-pronto-para-encarar-outras-galaxias
Veja como seria um remake de Resident Evil 4 na Unreal Engine|Fã do clássico jogo da Capcom reimaginou alguns cenários do game com gráficos atuais|MATEUS MOGNON|03/02/2021 20:21|23|05/02/2021 00:28:23|https://adrenaline.com.br/noticias/v/67735/veja-como-seria-um-remake-de-resident-evil-4-na-unreal-engine
Até o preço das memórias DDR3 deve subir cerca de 50% em 2021|Apesar de já ser um padrão ultrapassado, a tecnologia ainda é utilizada em certos dispositivos de inteligência das coisas e servidores|MATEUS MOGNON|03/02/2021 17:19|71|05/02/2021 00:28:36|https://adrenaline.com.br/noticias/v/67733/ate-o-preco-das-memorias-ddr3-deve-subir-cerca-de-50-em-2021
Produtora de Genshin Impact sorteia PS5, GPUs RTX, Switch e iPhone 12 para funcionários|O jogo free-to-play fez bastante sucesso durante o ano de 2020|MATEUS MOGNON|03/02/2021 15:30|27|05/02/2021 00:28:50|https://adrenaline.com.br/noticias/v/67731/produtora-de-genshin-impact-sorteia-ps5-gpus-rtx-switch-e-iphone-12-para-funcionarios
Sega anuncia Total War: Warhammer 3 com novo trailer de revelação|"Game chega em 2021 e promete um ""patamar jamais visto"" em jogos de estratégia"|JOÃO GABRIEL NOGUEIRA|03/02/2021 13:29|12|05/02/2021 00:29:21|https://adrenaline.com.br/noticias/v/67728/sega-anuncia-total-war-warhammer-3-com-novo-trailer-de-revelacao
Apex Legends chega ao Switch no dia 9 de março com 30 níveis grátis e XP em dobro|"Jogo vai ter crossplay com outras plataformas e promete ""paridade total de recursos"""|JOÃO GABRIEL NOGUEIRA|03/02/2021 11:42|2|05/02/2021 00:29:35|https://adrenaline.com.br/noticias/v/67726/apex-legends-chega-ao-switch-no-dia-9-de-marco-com-30-niveis-gratis-e-xp-em-dobro
Dona da THQ Nordic e Deep Silver compra a Gearbox por US$ 1,3 bilhão|A Embracer Group acaba de adicionar mais um estúdio de peso em seu catálogo de produtoras|MATEUS MOGNON|03/02/2021 11:12|3|05/02/2021 00:29:48|https://adrenaline.com.br/noticias/v/67725/dona-da-thq-nordic-e-deep-silver-compra-a-gearbox-por-us-13-bilhao
Mass Effect: Legendary Edition tem lançamento confirmado para 14 de maio|Coletânea para PC (Steam e Origin), PlayStation 4 e Xbox One inclui os três jogos remasterizados em 4K (Ultra HD) com suporte para HDR|FABIO ROSOLEN|03/02/2021 10:52|37|05/02/2021 00:30:01|https://adrenaline.com.br/noticias/v/67724/mass-effect-legendary-edition-tem-lancamento-confirmado-para-14-de-maio
PS5 vendeu 4,5 milhões de unidades no final de 2020 - o triplo das vendas do PS4|Último trimestre do ano passado foi o melhor da história do Playstation em finanças|JOÃO GABRIEL NOGUEIRA|03/02/2021 09:55|24|05/02/2021 00:30:33|https://adrenaline.com.br/noticias/v/67723/ps5-vendeu-45-milhoes-de-unidades-no-final-de-2020-o-triplo-das-vendas-do-ps4
EA Games confirma novo Battlefield até o final de 2021|"CEO da empresa já confirmou que o game será focado para a ""próxima geração"""|ANA LUIZA PEDROSO|03/02/2021 09:03|105|05/02/2021 00:30:46|https://adrenaline.com.br/noticias/v/67721/ea-games-confirma-novo-battlefield-ate-o-final-de-2021
